Checkpoint #,Name,Uploaded At,Elo Rating,Network File,Raw TF Weights,Raw Elo,Raw Network URL,Raw TF URL
510,kata1-b40c256-s11927095808-d2922601684,2022-07-01 01:49:29 UTC,"13444.3 ± 17.6 - (1,696 games)",[Download],[Download],13444.3,https://media.katagotraining.org/uploaded/networks/models/kata1/kata1-b40c256-s11927095808-d2922601684.bin.gz,https://media.katagotraining.org/uploaded/networks/zips/kata1/kata1-b40c256-s11927095808-d2922601684.zip
509,kata1-b60c320-s6195206400-d2919010735,2022-06-30 06:04:31 UTC,"13571.7 ± 18.8 - (1,812 games)",[Download],[Download],13571.7,https://media.katagotraining.org/uploaded/networks/models/kata1/kata1-b60c320-s6195206400-d2919010735.bin.gz,https://media.katagotraining.org/uploaded/networks/zips/kata1/kata1-b60c320-s6195206400-d2919010735.zip
508,kata1-b60c320-s6169882880-d2912392781,2022-06-28 16:45:12 UTC,"13556.6 ± 19.0 - (1,692 games)",[Download],[Download],13556.6,https://media.katagotraining.org/uploaded/networks/models/kata1/kata1-b60c320-s6169882880-d2912392781.bin.gz,https://media.katagotraining.org/uploaded/networks/zips/kata1/kata1-b60c320-s6169882880-d2912392781.zip
507,kata1-b60c320-s6144619008-d2905897817,2022-06-27 05:41:51 UTC,"13566.6 ± 18.7 - (1,842 games)",[Download],[Download],13566.6,https://media.katagotraining.org/uploaded/networks/models/kata1/kata1-b60c320-s6144619008-d2905897817.bin.gz,https://media.katagotraining.org/uploaded/networks/zips/kata1/kata1-b60c320-s6144619008-d2905897817.zip
506,kata1-b60c320-s6119310080-d2899227642,2022-06-25 02:11:36 UTC,"13564.6 ± 19.2 - (1,713 games)",[Download],[Download],13564.6,https://media.katagotraining.org/uploaded/networks/models/kata1/kata1-b60c320-s6119310080-d2899227642.bin.gz,https://media.katagotraining.org/uploaded/networks/zips/kata1/kata1-b60c320-s6119310080-d2899227642.zip
505,kata1-b40c256-s11840935168-d2898845681,2022-06-24 23:16:02 UTC,"13473.5 ± 17.9 - (1,694 games)",[Download],[Download],13473.5,https://media.katagotraining.org/uploaded/networks/models/kata1/kata1-b40c256-s11840935168-d2898845681.bin.gz,https://media.katagotraining.org/uploaded/networks/zips/kata1/kata1-b40c256-s11840935168-d2898845681.zip
504,kata1-b60c320-s6093801984-d2892798921,2022-06-23 07:35:04 UTC,"13562.4 ± 19.1 - (1,701 games)",[Download],[Download],13562.4,https://media.katagotraining.org/uploaded/networks/models/kata1/kata1-b60c320-s6093801984-d2892798921.bin.gz,https://media.katagotraining.org/uploaded/networks/zips/kata1/kata1-b60c320-s6093801984-d2892798921.zip
503,kata1-b60c320-s6068492032-d2885712288,2022-06-14 05:21:12 UTC,"13560.3 ± 18.7 - (1,809 games)",[Download],[Download],13560.3,https://media.katagotraining.org/uploaded/networks/models/kata1/kata1-b60c320-s6068492032-d2885712288.bin.gz,https://media.katagotraining.org/uploaded/networks/zips/kata1/kata1-b60c320-s6068492032-d2885712288.zip
502,kata1-b60c320-s6042914816-d2879200871,2022-06-04 03:56:14 UTC,"13547.9 ± 18.8 - (1,730 games)",[Download],[Download],13547.9,https://media.katagotraining.org/uploaded/networks/models/kata1/kata1-b60c320-s6042914816-d2879200871.bin.gz,https://media.katagotraining.org/uploaded/networks/zips/kata1/kata1-b60c320-s6042914816-d2879200871.zip
501,kata1-b40c256-s11756229888-d2875031240,2022-05-28 23:47:29 UTC,"13459.3 ± 17.9 - (1,705 games)",[Download],[Download],13459.3,https://media.katagotraining.org/uploaded/networks/models/kata1/kata1-b40c256-s11756229888-d2875031240.bin.gz,https://media.katagotraining.org/uploaded/networks/zips/kata1/kata1-b40c256-s11756229888-d2875031240.zip
500,kata1-b60c320-s6018012672-d2872643646,2022-05-25 04:34:04 UTC,"13553.9 ± 18.7 - (1,758 games)",[Download],[Download],13553.9,https://media.katagotraining.org/uploaded/networks/models/kata1/kata1-b60c320-s6018012672-d2872643646.bin.gz,https://media.katagotraining.org/uploaded/networks/zips/kata1/kata1-b60c320-s6018012672-d2872643646.zip
499,kata1-b60c320-s5992565504-d2865999298,2022-05-13 07:55:40 UTC,"13556.3 ± 18.9 - (1,729 games)",[Download],[Download],13556.3,https://media.katagotraining.org/uploaded/networks/models/kata1/kata1-b60c320-s5992565504-d2865999298.bin.gz,https://media.katagotraining.org/uploaded/networks/zips/kata1/kata1-b60c320-s5992565504-d2865999298.zip
498,kata1-b60c320-s5967310848-d2859394052,2022-04-30 12:28:48 UTC,"13560.1 ± 18.9 - (1,719 games)",[Download],[Download],13560.1,https://media.katagotraining.org/uploaded/networks/models/kata1/kata1-b60c320-s5967310848-d2859394052.bin.gz,https://media.katagotraining.org/uploaded/networks/zips/kata1/kata1-b60c320-s5967310848-d2859394052.zip
497,kata1-b60c320-s5943629568-d2852985812,2022-04-21 15:15:36 UTC,"13566.4 ± 14.7 - (2,945 games)",[Download],[Download],13566.4,https://media.katagotraining.org/uploaded/networks/models/kata1/kata1-b60c320-s5943629568-d2852985812.bin.gz,https://media.katagotraining.org/uploaded/networks/zips/kata1/kata1-b60c320-s5943629568-d2852985812.zip
496,kata1-b40c256-s11669043712-d2851611106,2022-04-19 11:58:08 UTC,"13468.0 ± 17.5 - (1,761 games)",[Download],[Download],13468,https://media.katagotraining.org/uploaded/networks/models/kata1/kata1-b40c256-s11669043712-d2851611106.bin.gz,https://media.katagotraining.org/uploaded/networks/zips/kata1/kata1-b40c256-s11669043712-d2851611106.zip
495,kata1-b60c320-s5921163776-d2846851021,2022-04-16 13:59:09 UTC,"13556.8 ± 17.7 - (1,966 games)",[Download],[Download],13556.8,https://media.katagotraining.org/uploaded/networks/models/kata1/kata1-b60c320-s5921163776-d2846851021.bin.gz,https://media.katagotraining.org/uploaded/networks/zips/kata1/kata1-b60c320-s5921163776-d2846851021.zip
494,kata1-b60c320-s5898701824-d2840573286,2022-04-12 16:04:38 UTC,"13560.2 ± 17.5 - (2,007 games)",[Download],[Download],13560.2,https://media.katagotraining.org/uploaded/networks/models/kata1/kata1-b60c320-s5898701824-d2840573286.bin.gz,https://media.katagotraining.org/uploaded/networks/zips/kata1/kata1-b60c320-s5898701824-d2840573286.zip
493,kata1-b60c320-s5876310784-d2834438248,2022-04-09 05:24:30 UTC,"13557.2 ± 18.6 - (1,759 games)",[Download],[Download],13557.2,https://media.katagotraining.org/uploaded/networks/models/kata1/kata1-b60c320-s5876310784-d2834438248.bin.gz,https://media.katagotraining.org/uploaded/networks/zips/kata1/kata1-b60c320-s5876310784-d2834438248.zip
492,kata1-b40c256-s11574569216-d2829125899,2022-04-06 08:46:52 UTC,"13465.5 ± 17.5 - (1,748 games)",[Download],[Download],13465.5,https://media.katagotraining.org/uploaded/networks/models/kata1/kata1-b40c256-s11574569216-d2829125899.bin.gz,https://media.katagotraining.org/uploaded/networks/zips/kata1/kata1-b40c256-s11574569216-d2829125899.zip
491,kata1-b60c320-s5852805888-d2827515077,2022-04-05 12:01:34 UTC,"13559.4 ± 18.1 - (1,909 games)",[Download],[Download],13559.4,https://media.katagotraining.org/uploaded/networks/models/kata1/kata1-b60c320-s5852805888-d2827515077.bin.gz,https://media.katagotraining.org/uploaded/networks/zips/kata1/kata1-b60c320-s5852805888-d2827515077.zip
490,kata1-b60c320-s5830413056-d2821299197,2022-04-02 08:27:24 UTC,"13557.4 ± 15.8 - (2,484 games)",[Download],[Download],13557.4,https://media.katagotraining.org/uploaded/networks/models/kata1/kata1-b60c320-s5830413056-d2821299197.bin.gz,https://media.katagotraining.org/uploaded/networks/zips/kata1/kata1-b60c320-s5830413056-d2821299197.zip
489,kata1-b60c320-s5807950592-d2814863569,2022-03-27 06:08:43 UTC,"13556.6 ± 18.5 - (1,794 games)",[Download],[Download],13556.6,https://media.katagotraining.org/uploaded/networks/models/kata1/kata1-b60c320-s5807950592-d2814863569.bin.gz,https://media.katagotraining.org/uploaded/networks/zips/kata1/kata1-b60c320-s5807950592-d2814863569.zip
488,kata1-b60c320-s5785632768-d2808645683,2022-03-17 22:34:04 UTC,"13551.9 ± 18.8 - (1,742 games)",[Download],[Download],13551.9,https://media.katagotraining.org/uploaded/networks/models/kata1/kata1-b60c320-s5785632768-d2808645683.bin.gz,https://media.katagotraining.org/uploaded/networks/zips/kata1/kata1-b60c320-s5785632768-d2808645683.zip
487,kata1-b40c256-s11480044288-d2806624493,2022-03-16 14:16:58 UTC,"13465.1 ± 17.3 - (1,795 games)",[Download],[Download],13465.1,https://media.katagotraining.org/uploaded/networks/models/kata1/kata1-b40c256-s11480044288-d2806624493.bin.gz,https://media.katagotraining.org/uploaded/networks/zips/kata1/kata1-b40c256-s11480044288-d2806624493.zip
486,kata1-b60c320-s5763300608-d2802381103,2022-03-13 11:57:00 UTC,"13564.8 ± 14.8 - (2,893 games)",[Download],[Download],13564.8,https://media.katagotraining.org/uploaded/networks/models/kata1/kata1-b60c320-s5763300608-d2802381103.bin.gz,https://media.katagotraining.org/uploaded/networks/zips/kata1/kata1-b60c320-s5763300608-d2802381103.zip
485,kata1-b60c320-s5740911872-d2796225945,2022-03-08 17:37:00 UTC,"13552.5 ± 18.5 - (1,774 games)",[Download],[Download],13552.5,https://media.katagotraining.org/uploaded/networks/models/kata1/kata1-b60c320-s5740911872-d2796225945.bin.gz,https://media.katagotraining.org/uploaded/networks/zips/kata1/kata1-b60c320-s5740911872-d2796225945.zip
